reg|name|promoter|district|project_type|started|units
RP/26/2024/01260|SHREEHARI CITY PHASE-II|SHREEHARI CONSTRUCTIONS|Puri|Residential|Sep, 2024|23
RP/19/2024/01259|MAJESTY RESIDENCY|Barisal Constructions Pvt. Ltd.|Khordha|Plotted Scheme|Sep, 2024|36
RP/02/2024/01258|MEADOWS 4|Anang Uday Singh Deo|Balangir|Plotted Scheme|Sep, 2024|54
RP/19/2024/01257|TRINITY ASHOKA|TRINITY ESTATE BUILDERS LLP|Khordha|Residential|Sep, 2024|5
RP/19/2024/01256|SKYTECH ICON|M/S. SKYTECH INFRAPROJECTS PVT. LTD|Khordha|Residential|Sep, 2024|36
RP/11/2024/01255|SIDHA BINAYAK NILAYAM GANESH RESIDENCY|M/S SIDHA GANESH BUILDER & PROMOTERS|Ganjam|Residential|Sep, 2024|48
RP/19/2024/01254|SKYTECH GOLAP RESIDENCY|M/S. SKYTECH INFRAPROJECTS PVT. LTD|Khordha|Residential|Sep, 2024|10
RP/19/2024/01253|9 BOULEVARD|M/S. OU INFRAPROJECTS PVT. LTD|Khordha|Residential|Sep, 2024|244
RP/09/2024/01252|MANORAMA ENCLAVE|DWARKA BUILDERS|Dhenkanal|Residential|Sep, 2024|40
RP/22/2024/01251|ASRA GARDENS|ASRA REALTORS LLP|Mayurbhanj|Residential|Sep, 2024|24
RP/26/2024/01250|PARX RESIDENCY|SAI ARATI HOMES PRIVATE LIMITED|Puri|Residential|Sep, 2024|118
RP/19/2024/01249|SAI CHAKRADHARA AVENUE|SAI SMRUTI CONSTRUCTIONS PVT. LTD.|Khordha|Residential|Sep, 2024|12
RP/19/2024/01248|JSP HARMONY|Falcon Real Estate Private Limited|Khordha|Residential|Sep, 2024|5
RP/19/2024/01247|JIVA 3|M/s. Panda Infratech Limited|Khordha|Residential|Sep, 2024|15
